Test,Value,Unit,Reference Range,Flag
Hemoglobin,8.5,g/dL,12.0-15.5,Low
Hematocrit,25.8,%,36-46,Low
White Blood Cell Count,12500,cells/μL,4500-11000,High
Red Blood Cell Count,3.2,million cells/μL,4.5-5.9,Low
Platelet Count,450000,cells/μL,150000-450000,Normal
Mean Corpuscular Volume,85,fL,80-100,Normal
Mean Corpuscular Hemoglobin,28,pg,27-32,Normal
Neutrophils,75,%,50-70,High
Lymphocytes,15,%,20-40,Low
Monocytes,8,%,2-8,Normal
Eosinophils,2,%,1-4,Normal
Glucose,165,mg/dL,70-100,High
Blood Urea Nitrogen,45,mg/dL,7-20,High
Creatinine,1.8,mg/dL,0.6-1.2,High
Sodium,142,mEq/L,136-145,Normal
Potassium,5.2,mEq/L,3.5-5.0,High
Chloride,105,mEq/L,98-107,Normal
Total Cholesterol,265,mg/dL,<200,High
LDL Cholesterol,175,mg/dL,<100,High
HDL Cholesterol,35,mg/dL,>40,Low
Triglycerides,320,mg/dL,<150,High
